CaseID,FilingDate,CrimeType,Location,Description,PriorityLabel
CR-2018-10507,2025-02-23,Burglary,Downtown,Business broken into overnight. pet door showed signs of forced entry. cash and electronics reported missing.,1
CR-2020-10508,2024-03-14,Burglary,South District,Suspect broke into residence via balcony door and took electronics and cash. No witnesses.,0
CR-2021-10509,2023-10-04,Theft,Downtown,Unknown suspect stole phone from victim's gym. No surveillance footage available.,0
CR-2022-10510,2024-07-16,Drug Offense,Downtown,Suspect observed selling prescription pills near office.,0
CR-2021-10511,2022-10-21,Robbery,Downtown,"Bank robbery involving suspect with implied weapon in pocket, escaped with undisclosed amount.",0
CR-2021-10512,2023-09-24,Vandalism,Downtown,Property damaged by graffiti depicting obscene images. Estimated repair cost: $778.,0
CR-2019-10513,2025-03-30,Vandalism,Downtown,Business storefront windows broken with spray paint. Surveillance camera captured incident.,0
CR-2019-10514,2023-12-01,Fraud,Downtown,"Business reported accounting discrepancies amounting to $2500, suspected internal fraud.",0
CR-2020-10515,2022-11-13,Theft,North District,Victim reported vehicle stolen from public restroom. No witnesses present.,0
CR-2019-10516,2025-01-08,Theft,Industrial Area,Victim reported credit cards stolen from store. No witnesses present.,0
CR-2020-10517,2023-06-22,Burglary,Downtown,Suspect broke into residence via skylight and took jewelry and watches. No witnesses.,0
CR-2018-10518,2023-08-10,Theft,North District,Suspect took victim's cash when victim was not looking at office.,0
CR-2020-10519,2023-08-05,Vandalism,Transit Station,Property damaged by graffiti depicting anarchist symbols. Estimated repair cost: $382.,0
CR-2021-10520,2022-09-24,Assault,West District,Domestic dispute escalated to physical violence resulting in fractured ribs to victim.,0
CR-2020-10521,2023-05-20,Assault,Industrial Area,Unprovoked attack by unknown suspect left victim with fractured ribs. Witnesses described suspect as person wearing mask and gloves.,1
CR-2020-10522,2022-08-31,Other,North District,Violation of restraining order when suspect approached protected person.,0
CR-2021-10523,2022-09-01,Burglary,Downtown,Suspect broke into residence via side entrance and took electronics and cash. No witnesses.,0
CR-2018-10524,2022-12-26,Fraud,West District,Victim was deceived into transferring $5000 to fraudulent investment scheme.,0
CR-2020-10525,2023-10-31,Other,North District,Trespassing incident at closed business premises after hours.,0
CR-2019-10526,2023-11-18,Harassment,Downtown,Online harassment campaign targeted victim with derogatory comments.,0
CR-2018-10527,2024-10-19,Assault,South District,Unprovoked attack by unknown suspect left victim with minor cuts and bruises. Witnesses described suspect as person wearing mask and gloves.,1
CR-2019-10528,2024-01-14,Vandalism,South District,Business storefront windows broken with rocks. Surveillance camera captured incident.,0
CR-2018-10529,2024-06-16,Vandalism,Central Park,"Public street sign was destroyed, causing $261 in damages. No witnesses.",0
CR-2021-10530,2022-10-21,Burglary,Shopping Mall,Suspect broke into residence via basement window and took electronics and cash. No witnesses.,0
CR-2018-10531,2023-10-16,Theft,North District,Unknown suspect stole identity documents from victim's sidewalk. No surveillance footage available.,0
CR-2019-10532,2023-06-04,Theft,North District,Victim reported vehicle stolen from park bench. No witnesses present.,0
CR-2021-10533,2023-01-11,Theft,North District,Suspect took victim's wallet when victim was not looking at office.,0
CR-2019-10534,2022-11-07,Burglary,Downtown,Suspect broke into residence via rear window and took electronics and jewelry. No witnesses.,0
CR-2021-10535,2023-12-03,Fraud,East District,"Business reported accounting discrepancies amounting to $10000, suspected internal fraud.",0
CR-2022-10536,2022-10-29,Burglary,Central Park,Forced entry through garage door. electronics and jewelry were stolen. No alarm system triggered.,0
CR-2019-10537,2024-02-17,Drug Offense,University Campus,Anonymous tip led to discovery of heroin manufacturing operation.,0
CR-2022-10538,2023-08-21,Robbery,West District,"Bank robbery involving suspect with broken bottle, escaped with undisclosed amount.",1
CR-2022-10539,2023-02-24,Other,Downtown,Trespassing incident at closed business premises after hours.,0
CR-2019-10540,2024-12-25,Burglary,North District,Forced entry through basement window. electronics and cash were stolen. No alarm system triggered.,1
CR-2022-10541,2023-05-05,Other,Downtown,"Suspicious activity reported near restaurant, investigation ongoing.",0
CR-2018-10542,2024-01-05,Theft,North District,Victim's phone was taken while they were distracted by phone. No suspects identified.,0
CR-2018-10543,2023-11-30,Other,North District,Violation of restraining order when suspect approached protected person.,0
CR-2021-10544,2024-11-25,Fraud,Central Park,Victim was deceived into transferring $500 to fraudulent investment scheme.,1
CR-2018-10545,2023-09-27,Fraud,North District,Victim was deceived into transferring $100000 to fraudulent investment scheme.,0
CR-2019-10546,2024-08-05,Theft,University Campus,Unknown suspect stole bicycle from victim's library. No surveillance footage available.,0
CR-2018-10547,2025-04-10,Theft,Industrial Area,Suspect took victim's identity documents when victim was not looking at library.,0
CR-2020-10548,2024-01-13,Vandalism,North District,Vehicle's hood was deliberately damaged while parked at library.,0
CR-2021-10549,2023-11-08,Assault,Downtown,Victim sustained fractured ribs after altercation with suspect at sidewalk.,1
CR-2018-10550,2024-12-01,Burglary,Industrial Area,Suspect broke into residence via garage door and took electronics and cash. No witnesses.,1
CR-2019-10551,2023-05-04,Vandalism,Central Park,Business storefront windows broken with baseball bat. Surveillance camera captured incident.,0
CR-2022-10552,2022-07-04,Harassment,Industrial Area,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2020-10553,2025-01-11,Fraud,Central Park,Victim reported unauthorized transactions totaling $7500 on their credit card.,1
CR-2018-10554,2023-07-07,Fraud,Downtown,"Suspect used victim's identity to open mobile phone accounts, causing financial damage of $25000.",0
CR-2020-10555,2025-03-19,Fraud,South District,Victim was deceived into transferring $7500 to fraudulent investment scheme.,1
CR-2021-10556,2023-12-08,Burglary,Downtown,Home invasion occurred while residents were away. balcony door was damaged. jewelry and watches missing.,0
CR-2022-10557,2023-02-17,Theft,Downtown,Suspect took victim's wallet when victim was not looking at public restroom.,0
CR-2021-10558,2023-08-05,Vandalism,North District,"Public street sign was destroyed, causing $930 in damages. No witnesses.",0
CR-2018-10559,2023-10-27,Theft,Shopping Mall,Suspect took victim's laptop when victim was not looking at restaurant.,0
CR-2019-10560,2023-10-22,Assault,East District,Physical altercation between victim and known suspect resulted in defensive wounds on hands.,1
CR-2019-10561,2024-05-30,Fraud,South District,"Business reported accounting discrepancies amounting to $50000, suspected internal fraud.",0
CR-2020-10562,2022-05-26,Assault,East District,Physical altercation between victim and known suspect resulted in concussion.,0
CR-2022-10563,2024-10-30,Drug Offense,Downtown,Search warrant execution revealed prescription pills and paraphernalia in suspect's residence.,0
CR-2021-10564,2024-12-31,Fraud,Downtown,Victim reported unauthorized transactions totaling $100000 on their credit card.,1
CR-2018-10565,2024-07-08,Burglary,Transit Station,Forced entry through basement window. electronics and cash were stolen. No alarm system triggered.,1
CR-2022-10566,2025-01-23,Drug Offense,West District,Anonymous tip led to discovery of cocaine manufacturing operation.,0
CR-2021-10567,2024-10-26,Homicide,South District,Victim discovered deceased in bus stop with suspicious circumstances.,1
CR-2020-10568,2022-08-25,Fraud,West District,"Business reported accounting discrepancies amounting to $1200, suspected internal fraud.",0
CR-2019-10569,2025-02-01,Vandalism,Downtown,Property damaged by graffiti depicting tags and signatures. Estimated repair cost: $370.,0
CR-2022-10570,2023-01-06,Robbery,East District,Suspect threatened victim with taser before taking cash.,1
CR-2020-10571,2024-11-14,Drug Offense,North District,Suspect found in possession of synthetic drugs during routine traffic stop.,0
CR-2019-10572,2024-12-23,Robbery,North District,"Armed suspect demanded money from store clerk, escaped with $142.",1
CR-2019-10573,2022-09-19,Robbery,Downtown,"Armed suspect demanded money from store clerk, escaped with $1964.",0
CR-2022-10574,2023-10-14,Burglary,South District,Home invasion occurred while residents were away. skylight was damaged. cash and electronics missing.,0
CR-2019-10575,2024-11-24,Assault,East District,Physical altercation between victim and known suspect resulted in black eye.,1
CR-2018-10576,2024-07-31,Robbery,Industrial Area,"Bank robbery involving suspect with knife, escaped with undisclosed amount.",1
CR-2020-10577,2024-11-02,Theft,West District,Suspect took victim's jewelry when victim was not looking at public restroom.,0
CR-2019-10578,2025-04-10,Burglary,Downtown,Business broken into overnight. garage door showed signs of forced entry. jewelry and watches reported missing.,1
CR-2018-10579,2022-08-18,Other,Downtown,Noise complaint escalated requiring police intervention at residential property.,0
CR-2020-10580,2023-09-14,Harassment,North District,Victim received 12 threatening messages from known suspect over 4 months.,0
CR-2022-10581,2022-11-29,Vandalism,South District,Business storefront windows broken with skateboard. Surveillance camera captured incident.,0
CR-2021-10582,2023-07-20,Theft,Central Park,Suspect took victim's bicycle when victim was not looking at bus stop.,0
CR-2021-10583,2024-08-08,Homicide,West District,Victim found deceased with severe beating. Crime scene indicates signs of struggle.,1
CR-2020-10584,2022-11-21,Fraud,Downtown,Victim reported unauthorized transactions totaling $5000 on their credit card.,0
CR-2021-10585,2023-08-30,Fraud,South District,Victim reported unauthorized transactions totaling $1200 on their credit card.,0
CR-2020-10586,2023-12-03,Theft,South District,Victim's vehicle was taken while they were walking. No suspects identified.,0
CR-2019-10587,2023-12-21,Burglary,Industrial Area,Forced entry through skylight. artwork and antiques were stolen. No alarm system triggered.,0
CR-2020-10588,2024-11-18,Robbery,West District,Victim was approached by 1 suspects who took wallet by force.,1
CR-2021-10589,2024-12-21,Other,West District,Trespassing incident at closed business premises after hours.,0
CR-2018-10590,2024-05-18,Drug Offense,East District,Suspect observed selling prescription pills near park bench.,0
CR-2020-10591,2024-11-14,Assault,North District,Unprovoked attack by unknown suspect left victim with concussion. Witnesses described suspect as medium-built female with distinctive tattoos.,1
CR-2022-10592,2024-02-21,Theft,North District,Suspect took victim's cash when victim was not looking at sidewalk.,0
CR-2018-10593,2024-07-14,Burglary,East District,Forced entry through garage door. jewelry and watches were stolen. No alarm system triggered.,1
CR-2020-10594,2025-01-11,Burglary,Central Park,Business broken into overnight. pet door showed signs of forced entry. electronics and jewelry reported missing.,1
CR-2021-10595,2022-06-23,Harassment,Industrial Area,Victim reported ongoing harassment by neighbor including property damage.,0
CR-2022-10596,2024-03-11,Fraud,Industrial Area,"Business reported accounting discrepancies amounting to $2500, suspected internal fraud.",0
CR-2021-10597,2025-03-10,Burglary,Central Park,Business broken into overnight. garage door showed signs of forced entry. electronics and cash reported missing.,1
CR-2022-10598,2024-02-06,Theft,Industrial Area,Victim's laptop was taken while they were exercising. No suspects identified.,0
CR-2020-10599,2025-01-23,Theft,Shopping Mall,Suspect took victim's credit cards when victim was not looking at parking lot.,0
CR-2021-10600,2025-03-10,Robbery,Industrial Area,"Bank robbery involving suspect with blunt object, escaped with undisclosed amount.",1
CR-2018-10601,2025-02-11,Assault,South District,Physical altercation between victim and known suspect resulted in minor cuts and bruises.,1
CR-2021-10602,2023-06-28,Assault,Central Park,Victim sustained defensive wounds on hands after altercation with suspect at store.,1
CR-2018-10603,2024-02-04,Homicide,South District,Domestic dispute escalated resulting in fatal gunshot wounds to victim.,1
CR-2022-10604,2023-09-03,Vandalism,North District,Business storefront windows broken with hammer. Surveillance camera captured incident.,0
CR-2021-10605,2023-10-08,Theft,Central Park,Victim's laptop was taken while they were exercising. No suspects identified.,0
CR-2020-10606,2024-08-17,Burglary,North District,Forced entry through basement window. cash and electronics were stolen. No alarm system triggered.,1
CR-2020-10607,2024-11-22,Other,North District,"Suspicious activity reported near library, investigation ongoing.",0
CR-2018-10608,2023-11-10,Assault,Downtown,Physical altercation between victim and known suspect resulted in concussion.,1
CR-2020-10609,2023-04-13,Other,North District,Trespassing incident at closed business premises after hours.,0
CR-2018-10610,2024-08-30,Theft,East District,Victim's credit cards was taken while they were commuting. No suspects identified.,0
CR-2022-10611,2024-01-29,Fraud,Industrial Area,Victim was deceived into transferring $7500 to fraudulent investment scheme.,0
CR-2018-10612,2023-10-23,Harassment,North District,Online harassment campaign targeted victim with threats of violence.,0
CR-2022-10613,2024-03-20,Assault,North District,Unprovoked attack by unknown suspect left victim with concussion. Witnesses described suspect as young male in hooded sweatshirt.,1
CR-2018-10614,2024-07-11,Fraud,Downtown,"Business reported accounting discrepancies amounting to $500, suspected internal fraud.",0
CR-2020-10615,2022-10-16,Harassment,South District,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2020-10616,2024-10-09,Theft,North District,Victim's bicycle was taken while they were walking. No suspects identified.,0
CR-2018-10617,2022-05-05,Assault,Shopping Mall,Unprovoked attack by unknown suspect left victim with concussion. Witnesses described suspect as person wearing mask and gloves.,0
CR-2022-10618,2023-07-05,Burglary,Industrial Area,Suspect broke into residence via pet door and took electronics and cash. No witnesses.,0
CR-2021-10619,2023-09-18,Harassment,Downtown,Victim reported ongoing harassment by neighbor including spreading rumors.,0
CR-2022-10620,2023-06-21,Theft,East District,Victim's phone was taken while they were working. No suspects identified.,0
CR-2019-10621,2024-12-31,Robbery,West District,Victim was approached by 3 suspects who took credit cards by force.,1
CR-2022-10622,2023-06-02,Fraud,Shopping Mall,Victim reported unauthorized transactions totaling $50000 on their credit card.,0
CR-2021-10623,2024-01-31,Vandalism,South District,Property damaged by graffiti depicting anarchist symbols. Estimated repair cost: $199.,0
CR-2022-10624,2022-07-30,Drug Offense,Industrial Area,Suspect found in possession of synthetic drugs during routine traffic stop.,0
CR-2022-10625,2024-10-12,Drug Offense,Shopping Mall,Suspect found in possession of cocaine during routine traffic stop.,0
CR-2018-10626,2024-05-26,Vandalism,Downtown,Business storefront windows broken with rocks. Surveillance camera captured incident.,0
CR-2019-10627,2023-05-08,Fraud,Downtown,"Business reported accounting discrepancies amounting to $500, suspected internal fraud.",0
CR-2018-10628,2023-01-09,Burglary,South District,Home invasion occurred while residents were away. side entrance was damaged. electronics and jewelry missing.,0
CR-2022-10629,2024-12-27,Other,Central Park,Violation of restraining order when suspect approached protected person.,0
CR-2018-10630,2023-01-18,Drug Offense,South District,Suspect found in possession of marijuana during routine traffic stop.,0
CR-2020-10631,2023-04-26,Fraud,Industrial Area,"Suspect used victim's identity to open online shopping accounts, causing financial damage of $5000.",0
CR-2021-10632,2022-10-28,Harassment,Shopping Mall,Victim reported ongoing harassment by neighbor including stalking behavior.,0
CR-2020-10633,2023-10-28,Theft,South District,Unknown suspect stole cash from victim's library. No surveillance footage available.,0
CR-2021-10634,2024-02-24,Assault,Downtown,Physical altercation between victim and known suspect resulted in minor cuts and bruises.,1
CR-2021-10635,2023-06-11,Homicide,North District,Victim found deceased with strangulation. Crime scene indicates signs of struggle.,1
CR-2021-10636,2024-10-16,Drug Offense,North District,Search warrant execution revealed prescription pills and paraphernalia in suspect's residence.,0
CR-2020-10637,2022-08-20,Fraud,Downtown,Victim reported unauthorized transactions totaling $500 on their credit card.,0
CR-2022-10638,2024-11-01,Harassment,East District,Victim received 18 threatening messages from known suspect over 4 months.,0
CR-2018-10639,2025-03-06,Drug Offense,Downtown,Suspect found in possession of prescription pills during routine traffic stop.,0
CR-2022-10640,2024-10-28,Theft,East District,Suspect took victim's laptop when victim was not looking at park bench.,0
CR-2020-10641,2023-10-25,Burglary,Downtown,Home invasion occurred while residents were away. rear window was damaged. electronics and jewelry missing.,0
CR-2020-10642,2023-07-08,Assault,South District,Unprovoked attack by unknown suspect left victim with facial bruising. Witnesses described suspect as young male in hooded sweatshirt.,1
CR-2020-10643,2022-08-19,Assault,North District,Victim sustained concussion after altercation with suspect at park bench.,0
CR-2022-10644,2022-08-16,Theft,University Campus,Victim's purse was taken while they were working. No suspects identified.,0
CR-2022-10645,2025-03-10,Homicide,East District,Domestic dispute escalated resulting in fatal poisoning to victim.,1
CR-2021-10646,2022-11-03,Other,North District,Trespassing incident at closed business premises after hours.,0
CR-2021-10647,2022-08-03,Other,Central Park,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10648,2023-02-15,Fraud,Downtown,Victim was deceived into transferring $500 to fraudulent investment scheme.,0
CR-2022-10649,2023-03-25,Assault,North District,Domestic dispute escalated to physical violence resulting in concussion to victim.,0
CR-2022-10650,2024-05-17,Theft,North District,Victim's jewelry was taken while they were exercising. No suspects identified.,0
CR-2021-10651,2023-02-10,Harassment,East District,Online harassment campaign targeted victim with derogatory comments.,0
CR-2018-10652,2023-08-12,Theft,Central Park,Victim's cash was taken while they were distracted by phone. No suspects identified.,0
CR-2021-10653,2023-06-25,Robbery,West District,"Armed suspect demanded money from store clerk, escaped with $1631.",1
CR-2019-10654,2022-07-29,Burglary,Central Park,Forced entry through front door. personal documents and valuables were stolen. No alarm system triggered.,0
CR-2020-10655,2022-09-28,Vandalism,Downtown,Vehicle's hood was deliberately damaged while parked at gym.,0
CR-2022-10656,2024-02-02,Vandalism,Shopping Mall,Property damaged by graffiti depicting gang symbols. Estimated repair cost: $110.,0
CR-2020-10657,2023-01-08,Burglary,South District,Forced entry through garage door. electronics and jewelry were stolen. No alarm system triggered.,0
CR-2022-10658,2023-05-16,Fraud,Downtown,"Suspect used victim's identity to open investment accounts, causing financial damage of $15000.",0
CR-2021-10659,2023-10-26,Theft,University Campus,Victim's purse was taken while they were dining. No suspects identified.,0
CR-2020-10660,2022-09-10,Assault,Downtown,Unprovoked attack by unknown suspect left victim with lacerations requiring stitches. Witnesses described suspect as person wearing mask and gloves.,0
CR-2021-10661,2024-08-27,Assault,North District,Unprovoked attack by unknown suspect left victim with black eye. Witnesses described suspect as young male in hooded sweatshirt.,1
CR-2021-10662,2023-05-28,Burglary,East District,Business broken into overnight. skylight showed signs of forced entry. electronics and jewelry reported missing.,0
CR-2018-10663,2023-08-28,Fraud,Industrial Area,"Suspect used victim's identity to open loan accounts, causing financial damage of $100000.",0
CR-2020-10664,2022-07-07,Assault,East District,Domestic dispute escalated to physical violence resulting in broken nose to victim.,0
CR-2021-10665,2024-10-05,Other,North District,Trespassing incident at closed business premises after hours.,0
CR-2018-10666,2022-08-10,Theft,West District,Victim's phone was taken while they were working. No suspects identified.,0
CR-2018-10667,2024-08-03,Theft,Industrial Area,Victim's bicycle was taken while they were exercising. No suspects identified.,0
CR-2020-10668,2024-07-31,Assault,West District,Domestic dispute escalated to physical violence resulting in lacerations requiring stitches to victim.,1
CR-2019-10669,2023-08-09,Other,Downtown,Noise complaint escalated requiring police intervention at residential property.,0
CR-2020-10670,2024-10-08,Theft,North District,Suspect took victim's credit cards when victim was not looking at public restroom.,0
CR-2021-10671,2022-10-27,Burglary,West District,Home invasion occurred while residents were away. rear window was damaged. artwork and antiques missing.,0
CR-2018-10672,2022-05-05,Theft,Transit Station,Unknown suspect stole vehicle from victim's gym. No surveillance footage available.,0
CR-2020-10673,2025-04-09,Burglary,West District,Business broken into overnight. balcony door showed signs of forced entry. artwork and antiques reported missing.,1
CR-2022-10674,2022-09-04,Vandalism,Central Park,Vehicle's doors was deliberately damaged while parked at library.,0
CR-2018-10675,2022-12-29,Harassment,East District,Online harassment campaign targeted victim with threats of violence.,0
CR-2018-10676,2024-06-26,Theft,South District,Suspect took victim's jewelry when victim was not looking at gym.,0
CR-2020-10677,2024-10-12,Robbery,University Campus,"Bank robbery involving suspect with pepper spray, escaped with undisclosed amount.",1
CR-2019-10678,2022-05-31,Other,East District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2019-10679,2024-11-07,Theft,Industrial Area,Victim reported credit cards stolen from bus stop. No witnesses present.,0
CR-2021-10680,2023-03-04,Theft,South District,Unknown suspect stole purse from victim's gym. No surveillance footage available.,0
CR-2021-10681,2023-02-05,Assault,North District,Physical altercation between victim and known suspect resulted in minor cuts and bruises.,0
CR-2020-10682,2024-04-18,Fraud,Industrial Area,"Suspect used victim's identity to open rental accounts, causing financial damage of $15000.",0
CR-2018-10683,2023-06-27,Theft,North District,Victim reported credit cards stolen from park bench. No witnesses present.,0
CR-2020-10684,2024-04-11,Theft,West District,Victim's identity documents was taken while they were distracted by phone. No suspects identified.,0
CR-2019-10685,2025-02-13,Robbery,East District,"Armed suspect demanded money from store clerk, escaped with $1669.",1
CR-2021-10686,2022-09-23,Fraud,South District,Victim reported unauthorized transactions totaling $5000 on their credit card.,0
CR-2021-10687,2022-06-08,Robbery,East District,Victim was approached by 3 suspects who took wallet by force.,0
CR-2021-10688,2025-04-03,Robbery,North District,Suspect threatened victim with handgun before taking purse.,1
CR-2019-10689,2024-08-13,Robbery,West District,"Armed suspect demanded money from store clerk, escaped with $579.",1
CR-2018-10690,2025-01-01,Theft,Central Park,Victim's jewelry was taken while they were talking with others. No suspects identified.,0
CR-2019-10691,2023-02-04,Homicide,East District,Domestic dispute escalated resulting in fatal blunt force trauma to victim.,1
CR-2018-10692,2023-05-11,Theft,Central Park,Victim's purse was taken while they were distracted by phone. No suspects identified.,0
CR-2022-10693,2024-02-13,Theft,South District,Victim reported purse stolen from restaurant. No witnesses present.,0
CR-2020-10694,2022-08-31,Harassment,North District,Victim reported ongoing harassment by neighbor including verbal threats.,0
CR-2021-10695,2024-10-13,Other,South District,Violation of restraining order when suspect approached protected person.,0
CR-2021-10696,2024-03-07,Theft,West District,Victim's purse was taken while they were talking with others. No suspects identified.,0
CR-2019-10697,2024-10-31,Other,Industrial Area,Trespassing incident at closed business premises after hours.,0
CR-2019-10698,2022-10-08,Theft,West District,Unknown suspect stole wallet from victim's public restroom. No surveillance footage available.,0
CR-2022-10699,2024-10-31,Burglary,Downtown,Home invasion occurred while residents were away. front door was damaged. jewelry and watches missing.,1
CR-2021-10700,2023-06-21,Other,North District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2021-10701,2024-12-20,Drug Offense,Transit Station,Anonymous tip led to discovery of prescription pills manufacturing operation.,0
CR-2018-10702,2024-09-03,Assault,South District,Unprovoked attack by unknown suspect left victim with black eye. Witnesses described suspect as medium-built female with distinctive tattoos.,1
CR-2019-10703,2022-11-29,Burglary,Downtown,Business broken into overnight. garage door showed signs of forced entry. cash and electronics reported missing.,0
CR-2018-10704,2025-02-16,Assault,Industrial Area,Domestic dispute escalated to physical violence resulting in black eye to victim.,1
CR-2019-10705,2024-01-25,Drug Offense,South District,Anonymous tip led to discovery of heroin manufacturing operation.,0
CR-2018-10706,2023-12-28,Vandalism,Downtown,Business storefront windows broken with baseball bat. Surveillance camera captured incident.,0
CR-2018-10707,2024-05-31,Drug Offense,West District,Suspect found in possession of hallucinogens during routine traffic stop.,0
CR-2021-10708,2023-03-08,Drug Offense,South District,Anonymous tip led to discovery of methamphetamine manufacturing operation.,0
CR-2018-10709,2023-04-07,Theft,Downtown,Suspect took victim's credit cards when victim was not looking at public restroom.,0
CR-2022-10710,2022-06-04,Theft,East District,Victim's identity documents was taken while they were distracted by phone. No suspects identified.,0
CR-2021-10711,2022-06-08,Drug Offense,North District,Search warrant execution revealed prescription pills and paraphernalia in suspect's residence.,0
CR-2019-10712,2024-08-31,Other,Downtown,Trespassing incident at closed business premises after hours.,0
CR-2020-10713,2022-08-05,Burglary,Shopping Mall,Business broken into overnight. garage door showed signs of forced entry. jewelry and watches reported missing.,0
CR-2021-10714,2023-10-09,Assault,University Campus,Unprovoked attack by unknown suspect left victim with lacerations requiring stitches. Witnesses described suspect as young male in hooded sweatshirt.,1
CR-2021-10715,2024-08-21,Drug Offense,North District,Suspect found in possession of cocaine during routine traffic stop.,0
CR-2021-10716,2024-06-08,Robbery,East District,"Armed suspect demanded money from store clerk, escaped with $424.",1
CR-2019-10717,2022-10-08,Robbery,Downtown,"Bank robbery involving suspect with blunt object, escaped with undisclosed amount.",0
CR-2022-10718,2024-02-10,Robbery,East District,"Bank robbery involving suspect with baseball bat, escaped with undisclosed amount.",1
CR-2021-10719,2022-04-28,Theft,North District,Suspect took victim's credit cards when victim was not looking at sidewalk.,0
CR-2021-10720,2024-12-14,Other,Industrial Area,Noise complaint escalated requiring police intervention at residential property.,0
CR-2018-10721,2022-09-23,Homicide,Central Park,Victim discovered deceased in parking lot with suspicious circumstances.,1
CR-2018-10722,2025-03-20,Burglary,North District,Home invasion occurred while residents were away. rear window was damaged. artwork and antiques missing.,1
CR-2020-10723,2023-08-18,Other,East District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10724,2023-07-31,Drug Offense,East District,Search warrant execution revealed prescription pills and paraphernalia in suspect's residence.,0
CR-2018-10725,2024-01-07,Robbery,Transit Station,"Bank robbery involving suspect with blunt object, escaped with undisclosed amount.",1
CR-2019-10726,2023-10-08,Robbery,North District,"Bank robbery involving suspect with handgun, escaped with undisclosed amount.",1
CR-2019-10727,2023-04-13,Homicide,Industrial Area,Domestic dispute escalated resulting in fatal blunt force trauma to victim.,1
CR-2020-10728,2023-01-08,Other,East District,Trespassing incident at closed business premises after hours.,0
CR-2021-10729,2025-01-17,Theft,West District,Unknown suspect stole phone from victim's library. No surveillance footage available.,0
CR-2018-10730,2025-03-24,Other,North District,"Suspicious activity reported near park bench, investigation ongoing.",0
CR-2021-10731,2023-10-27,Theft,West District,Victim reported bicycle stolen from office. No witnesses present.,0
CR-2019-10732,2022-04-21,Assault,North District,Victim sustained defensive wounds on hands after altercation with suspect at office.,0
CR-2018-10733,2024-11-17,Burglary,Central Park,Business broken into overnight. front door showed signs of forced entry. jewelry and watches reported missing.,1
CR-2022-10734,2023-01-18,Other,West District,Noise complaint escalated requiring police intervention at residential property.,0
CR-2019-10735,2024-03-30,Theft,South District,Victim reported credit cards stolen from sidewalk. No witnesses present.,0
CR-2020-10736,2024-12-31,Harassment,South District,Victim received 17 threatening messages from known suspect over 1 months.,1
CR-2022-10737,2023-12-27,Harassment,Transit Station,Victim reported ongoing harassment by neighbor including false complaints to authorities.,0
CR-2022-10738,2022-06-05,Harassment,North District,Suspect repeatedly made unwanted contact with victim at their workplace.,0
CR-2018-10739,2023-01-13,Drug Offense,South District,Suspect observed selling prescription pills near office.,0
CR-2020-10740,2023-07-06,Fraud,North District,"Suspect used victim's identity to open mobile phone accounts, causing financial damage of $10000.",0
CR-2018-10741,2023-01-15,Fraud,Downtown,Victim was deceived into transferring $100000 to fraudulent investment scheme.,0
CR-2019-10742,2022-09-17,Theft,Industrial Area,Victim reported phone stolen from gym. No witnesses present.,0
CR-2022-10743,2022-08-19,Other,University Campus,Trespassing incident at closed business premises after hours.,0
CR-2022-10744,2024-08-11,Other,Central Park,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10745,2023-04-13,Assault,West District,Physical altercation between victim and known suspect resulted in fractured ribs.,0
CR-2018-10746,2025-03-14,Robbery,University Campus,"Bank robbery involving suspect with blunt object, escaped with undisclosed amount.",1
CR-2019-10747,2022-07-18,Assault,Downtown,Domestic dispute escalated to physical violence resulting in defensive wounds on hands to victim.,0
CR-2019-10748,2022-10-04,Theft,Central Park,Victim's identity documents was taken while they were commuting. No suspects identified.,0
CR-2019-10749,2023-07-16,Robbery,North District,"Bank robbery involving suspect with handgun, escaped with undisclosed amount.",1
CR-2020-10750,2024-09-21,Assault,Shopping Mall,Victim sustained defensive wounds on hands after altercation with suspect at store.,1
CR-2022-10751,2022-04-26,Kidnapping,Downtown,"Brief abduction during carjacking incident, victim released unharmed.",1
CR-2020-10752,2023-10-14,Other,Downtown,Noise complaint escalated requiring police intervention at residential property.,0
CR-2022-10753,2023-03-09,Burglary,South District,Home invasion occurred while residents were away. balcony door was damaged. personal documents and valuables missing.,0
CR-2022-10754,2024-04-03,Drug Offense,Transit Station,Suspect observed selling prescription pills near park bench.,0
CR-2022-10755,2024-03-09,Burglary,West District,Suspect broke into residence via pet door and took personal documents and valuables. No witnesses.,0
CR-2019-10756,2025-04-02,Harassment,University Campus,Victim received 4 threatening messages from known suspect over 1 months.,1
CR-2019-10757,2023-02-25,Theft,Downtown,Victim reported purse stolen from restaurant. No witnesses present.,0
CR-2019-10758,2023-04-05,Drug Offense,North District,Search warrant execution revealed marijuana and paraphernalia in suspect's residence.,0
CR-2021-10759,2024-03-25,Vandalism,East District,Vehicle's hood was deliberately damaged while parked at sidewalk.,0
CR-2022-10760,2022-07-24,Burglary,Industrial Area,Forced entry through balcony door. personal documents and valuables were stolen. No alarm system triggered.,0
CR-2022-10761,2024-03-16,Assault,Shopping Mall,Victim sustained fractured ribs after altercation with suspect at restaurant.,1
